distance_km,days_since_last_donation,is_first_time_donor,age,past_donations,response_rate,avg_response_time_min,is_available_now,label
4.73,885.0,0,31,5,0.438,20.8,1,1
6.07,672.0,0,30,0,0.274,5.7,1,1
5.74,126.0,0,43,1,0.709,9.1,0,1
2.76,374.0,0,37,4,0.369,22.2,1,1
0.4,499.0,0,50,5,0.79,30.7,0,0
3.48,-1.0,1,24,1,0.107,25.3,0,0
3.16,747.0,0,43,2,0.162,8.9,0,0
3.37,778.0,0,28,3,0.579,32.7,0,1
5.65,-1.0,1,39,2,0.832,7.2,1,0
3.58,687.0,0,31,0,0.909,57.5,1,1
19.85,480.0,0,18,4,0.314,10.8,1,0
1.53,186.0,0,34,3,0.622,15.3,1,1
17.48,757.0,0,27,3,0.802,38.6,1,1
1.08,261.0,0,33,4,0.607,17.2,1,1
10.36,309.0,0,33,5,0.436,39.4,1,0
14.2,210.0,0,26,3,0.39,13.5,0,1
6.04,105.0,0,30,1,0.387,2.1,0,0
11.72,727.0,0,50,4,0.662,31.1,0,0
1.65,-1.0,1,25,5,0.261,29.0,1,1
10.89,213.0,0,29,4,0.559,38.8,1,0
4.93,-1.0,1,29,4,0.407,8.2,0,1
9.81,-1.0,1,29,4,0.29,0.3,1,1
2.14,655.0,0,18,0,0.392,2.1,1,0
10.68,517.0,0,43,1,0.435,21.2,1,0
8.92,520.0,0,25,6,0.292,26.4,0,0
6.03,-1.0,1,38,2,0.892,8.2,1,1
1.48,-1.0,1,32,1,0.342,67.1,1,0
2.54,430.0,0,24,4,0.707,59.5,0,0
18.61,729.0,0,40,0,0.375,23.1,1,0
2.76,-1.0,1,23,2,0.592,28.4,1,0
14.67,530.0,0,32,4,0.244,8.7,1,0
4.91,274.0,0,32,6,0.779,43.2,0,0
5.24,300.0,0,40,4,0.302,4.2,1,1
0.45,337.0,0,45,3,0.828,0.7,1,1
0.19,316.0,0,36,1,0.224,3.1,0,0
10.52,884.0,0,28,3,0.933,19.5,0,0
1.8,132.0,0,44,1,0.064,14.7,1,1
12.74,541.0,0,29,3,0.611,83.1,0,1
0.84,700.0,0,49,2,0.728,49.8,1,0
8.61,315.0,0,23,6,0.338,2.9,0,1
0.39,788.0,0,29,4,0.805,3.6,1,1
1.42,859.0,0,26,0,0.26,44.9,0,0
6.45,677.0,0,26,2,0.333,1.7,1,0
0.45,857.0,0,30,2,0.722,1.9,1,1
9.76,832.0,0,24,4,0.511,26.1,1,1
5.29,542.0,0,42,1,0.808,20.1,1,1
4.12,217.0,0,26,2,0.186,1.2,1,1
0.02,182.0,0,33,2,0.362,38.9,0,0
19.96,-1.0,1,30,5,0.748,35.8,0,0
9.13,560.0,0,42,0,0.598,15.3,1,0
8.75,343.0,0,18,4,0.38,8.7,1,1
6.21,323.0,0,40,3,0.419,7.8,0,0
3.11,453.0,0,22,1,0.604,9.3,0,1
0.8,-1.0,1,47,3,0.283,0.0,1,0
0.14,803.0,0,32,4,0.829,1.5,0,0
0.47,295.0,0,34,1,0.758,4.0,0,0
1.81,276.0,0,47,5,0.707,28.5,1,1
9.87,385.0,0,18,0,0.915,46.4,0,0
11.54,177.0,0,18,2,0.506,4.4,1,0
1.7,557.0,0,22,3,0.475,25.2,1,1
11.3,641.0,0,30,0,0.481,12.7,0,1
0.28,672.0,0,18,6,0.075,5.3,0,0
4.23,157.0,0,34,4,0.634,56.1,0,1
3.26,690.0,0,28,2,0.349,70.7,1,0
2.42,608.0,0,28,4,0.77,36.3,1,1
21.69,162.0,0,18,2,0.561,9.0,1,1
2.78,806.0,0,37,6,0.703,21.9,0,0
8.54,-1.0,1,39,6,0.653,49.5,1,1
2.45,879.0,0,37,6,0.685,0.6,0,0
7.32,725.0,0,36,2,0.755,40.2,1,0
1.03,242.0,0,29,4,0.387,0.3,1,1
2.2,283.0,0,25,4,0.223,10.1,1,0
6.68,549.0,0,30,3,0.498,1.7,1,0
7.32,349.0,0,22,2,0.793,26.7,0,0
18.15,230.0,0,33,2,0.141,7.2,1,0
1.9,516.0,0,47,3,0.407,28.5,1,1
3.59,859.0,0,29,3,0.53,61.5,1,1
0.05,508.0,0,18,4,0.6,7.1,1,1
3.69,645.0,0,23,2,0.505,5.6,1,1
0.43,300.0,0,40,4,0.429,24.9,1,1
6.29,839.0,0,49,2,0.43,1.4,1,0
1.81,99.0,0,46,1,0.791,28.9,1,1
4.34,457.0,0,20,4,0.562,52.3,1,1
1.29,765.0,0,18,6,0.219,3.1,1,0
0.52,-1.0,1,49,2,0.391,23.4,1,1
1.49,861.0,0,26,4,0.505,13.3,0,0
5.58,-1.0,1,54,1,0.205,5.7,1,1
0.43,398.0,0,31,4,0.286,46.3,1,1
1.22,761.0,0,25,2,0.77,1.7,0,0
0.41,564.0,0,18,1,0.244,9.7,1,0
2.77,389.0,0,18,3,0.819,40.8,0,0
5.26,692.0,0,32,3,0.435,5.4,0,1
5.46,570.0,0,34,4,0.178,6.9,1,1
1.25,-1.0,1,30,5,0.166,9.8,1,1
5.43,199.0,0,22,5,0.143,7.5,1,0
0.24,582.0,0,36,8,0.332,9.9,0,1
1.66,-1.0,1,35,2,0.789,26.6,1,1
10.89,537.0,0,38,7,0.153,65.8,0,0
32.6,882.0,0,18,4,0.838,71.1,1,0
6.28,209.0,0,32,3,0.185,4.7,1,0
10.93,712.0,0,45,4,0.113,22.5,1,0
12.77,788.0,0,30,4,0.268,47.0,1,0
0.42,876.0,0,35,2,0.688,7.8,1,1
0.96,874.0,0,18,3,0.57,1.6,1,1
0.95,273.0,0,31,3,0.582,8.0,1,1
3.69,239.0,0,20,6,0.336,17.0,1,0
3.13,259.0,0,42,2,0.798,25.9,1,1
0.91,491.0,0,40,2,0.663,87.6,1,1
2.75,-1.0,1,22,4,0.499,7.6,1,1
8.32,91.0,0,35,2,0.646,5.8,1,1
8.58,94.0,0,40,5,0.355,10.4,1,1
4.17,-1.0,1,34,0,0.758,1.3,0,0
5.62,214.0,0,27,3,0.172,66.2,1,0
0.12,735.0,0,47,2,0.435,23.6,1,1
11.31,849.0,0,35,3,0.444,9.3,1,1
3.51,195.0,0,41,4,0.348,86.1,1,0
1.7,395.0,0,44,5,0.523,12.9,0,1
14.39,246.0,0,20,1,0.455,33.2,1,0
4.07,232.0,0,18,1,0.812,26.9,0,1
5.02,573.0,0,29,1,0.668,15.6,1,0
1.45,-1.0,1,47,0,0.782,21.0,1,0
10.25,884.0,0,18,1,0.677,7.3,1,1
10.41,729.0,0,18,3,0.774,6.3,1,1
10.41,313.0,0,18,4,0.941,26.7,0,0
7.53,-1.0,1,22,3,0.281,23.7,1,0
3.2,591.0,0,29,1,0.312,1.1,1,0
7.89,860.0,0,35,6,0.289,32.9,0,0
11.17,358.0,0,29,4,0.099,1.0,1,1
2.55,586.0,0,36,6,0.582,69.7,1,0
4.74,344.0,0,37,1,0.798,12.5,1,1
0.14,742.0,0,35,2,0.397,12.5,1,0
2.2,-1.0,1,32,4,0.173,20.0,1,0
1.52,162.0,0,29,3,0.709,34.9,1,0
3.01,452.0,0,28,4,0.553,28.5,1,0
1.29,558.0,0,27,4,0.267,28.0,0,0
2.68,586.0,0,28,1,0.42,8.5,1,0
2.41,484.0,0,49,6,0.749,2.7,1,1
5.41,521.0,0,40,3,0.242,24.5,0,1
0.28,646.0,0,22,4,0.102,8.8,1,0
4.16,-1.0,1,41,2,0.336,8.7,1,0
6.77,594.0,0,34,2,0.459,22.5,1,1
4.88,273.0,0,43,1,0.295,37.8,1,0
4.66,758.0,0,24,3,0.045,6.9,1,0
26.21,370.0,0,29,6,0.872,3.6,1,0
7.24,665.0,0,21,4,0.901,3.4,0,1
4.68,-1.0,1,22,1,0.357,42.9,1,1
2.21,531.0,0,31,6,0.776,60.6,1,0
7.27,262.0,0,30,4,0.739,1.6,1,0
36.58,377.0,0,32,2,0.303,14.6,1,1
0.99,402.0,0,37,3,0.653,5.9,1,1
5.16,276.0,0,43,2,0.622,3.9,1,1
16.84,666.0,0,18,2,0.848,8.1,0,0
16.49,587.0,0,18,3,0.252,25.8,1,1
2.9,153.0,0,26,1,0.501,40.2,1,0
5.48,341.0,0,43,4,0.193,36.1,1,1
3.5,102.0,0,20,1,0.415,16.5,1,1
0.38,-1.0,1,33,5,0.803,73.0,0,0
0.81,-1.0,1,29,2,0.954,27.7,1,1
0.15,266.0,0,18,1,0.429,12.5,1,1
3.87,826.0,0,42,1,0.362,12.7,1,0
1.2,708.0,0,44,5,0.361,12.9,1,1
0.87,590.0,0,21,5,0.482,11.1,1,1
1.06,396.0,0,52,2,0.687,29.7,1,1
7.97,528.0,0,20,3,0.493,33.2,1,0
17.03,113.0,0,23,5,0.445,22.7,0,0
8.31,817.0,0,19,2,0.25,23.9,1,1
1.13,440.0,0,25,2,0.176,0.5,1,0
3.68,485.0,0,44,5,0.731,3.7,0,1
6.74,174.0,0,39,2,0.537,38.1,0,1
20.22,322.0,0,35,3,0.129,6.6,1,0
1.33,693.0,0,29,5,0.633,7.1,1,0
12.5,235.0,0,26,5,0.647,49.4,1,1
2.39,578.0,0,39,3,0.458,51.6,1,1
7.58,400.0,0,28,3,0.317,44.1,0,0
0.67,746.0,0,44,3,0.661,7.9,1,0
2.13,686.0,0,21,0,0.451,10.5,1,1
12.72,428.0,0,20,2,0.826,38.4,1,1
6.28,346.0,0,18,5,0.537,13.6,1,1
14.79,751.0,0,24,1,0.616,18.0,1,1
5.83,631.0,0,30,4,0.449,16.5,0,1
1.71,460.0,0,34,1,0.28,43.9,1,0
1.66,169.0,0,18,5,0.786,4.5,0,0
6.05,-1.0,1,36,1,0.308,48.1,1,0
8.8,837.0,0,30,2,0.784,4.6,1,1
9.55,651.0,0,22,1,0.674,77.9,0,0
0.26,117.0,0,37,2,0.272,24.7,1,0
16.69,821.0,0,34,2,0.876,22.7,0,1
0.85,134.0,0,24,5,0.381,53.8,1,0
0.15,604.0,0,28,3,0.581,0.2,1,1
2.21,829.0,0,38,4,0.377,35.7,1,0
8.03,516.0,0,29,4,0.187,10.5,1,0
2.71,703.0,0,33,4,0.706,11.0,1,1
8.3,467.0,0,25,6,0.295,7.3,1,1
1.38,-1.0,1,39,4,0.704,1.8,0,1
2.38,724.0,0,18,4,0.778,4.5,0,0
6.05,134.0,0,38,7,0.186,19.0,1,0
1.09,308.0,0,35,5,0.566,10.2,1,1
9.81,124.0,0,30,3,0.827,0.9,1,1
15.19,-1.0,1,48,1,0.236,16.5,1,0
0.67,745.0,0,24,2,0.212,13.7,1,0
5.17,491.0,0,19,1,0.113,24.9,1,0
8.51,215.0,0,37,1,0.306,10.5,0,1
4.34,-1.0,1,45,3,0.069,53.0,1,1
5.86,-1.0,1,22,4,0.728,1.0,1,1
0.96,885.0,0,28,3,0.45,54.1,1,0
14.67,316.0,0,30,6,0.36,5.7,0,1
0.4,316.0,0,22,8,0.398,12.5,1,1
8.14,164.0,0,30,2,0.413,4.1,1,0
3.26,615.0,0,33,0,0.425,13.6,1,1
9.59,770.0,0,36,5,0.307,13.5,0,0
0.34,873.0,0,27,4,0.489,15.9,1,0
2.52,888.0,0,22,3,0.176,0.6,0,0
3.36,-1.0,1,20,1,0.524,16.2,1,0
19.63,432.0,0,18,3,0.109,168.0,1,0
3.47,433.0,0,33,2,0.391,0.2,0,0
3.59,607.0,0,32,5,0.31,19.6,1,0
2.78,682.0,0,32,2,0.773,21.5,1,1
4.21,195.0,0,38,0,0.352,21.1,0,0
7.6,301.0,0,31,5,0.773,29.1,1,0
0.32,-1.0,1,18,2,0.529,102.4,1,0
7.55,525.0,0,34,1,0.292,46.4,1,0
0.86,855.0,0,44,2,0.239,6.1,1,0
22.49,856.0,0,25,1,0.382,46.6,1,1
2.25,-1.0,1,18,4,0.189,6.4,1,0
14.8,96.0,0,36,2,0.708,18.3,1,1
4.06,242.0,0,32,2,0.316,41.3,0,0
6.2,742.0,0,50,2,0.685,19.7,1,0
9.51,102.0,0,32,2,0.601,3.0,1,1
0.87,194.0,0,37,3,0.33,151.6,1,0
16.01,-1.0,1,42,4,0.806,101.1,0,0
0.24,292.0,0,37,1,0.516,9.3,1,1
21.58,290.0,0,18,4,0.497,50.9,0,0
3.69,-1.0,1,41,4,0.635,19.8,1,1
5.24,124.0,0,27,1,0.222,10.8,1,1
0.16,647.0,0,43,3,0.708,82.2,1,0
0.67,721.0,0,50,3,0.771,9.4,0,1
5.2,105.0,0,23,3,0.598,4.0,1,1
1.02,598.0,0,46,4,0.446,61.7,1,1
0.66,572.0,0,31,3,0.622,3.8,1,0
1.32,-1.0,1,27,5,0.516,44.7,0,0
7.06,589.0,0,21,4,0.911,35.9,0,1
1.15,780.0,0,23,1,0.419,31.8,1,1
5.91,-1.0,1,26,3,0.66,183.5,1,0
6.52,867.0,0,32,4,0.696,11.9,1,1
23.9,547.0,0,20,3,0.402,17.2,0,0
7.4,644.0,0,27,1,0.252,42.3,1,1
5.43,791.0,0,49,2,0.308,9.6,1,0
19.28,758.0,0,29,2,0.857,0.2,1,1
3.51,644.0,0,38,2,0.442,50.4,1,1
4.02,141.0,0,18,6,0.743,15.6,1,1
2.45,854.0,0,54,2,0.77,6.2,1,1
15.67,624.0,0,37,3,0.787,37.5,1,1
2.41,183.0,0,34,4,0.538,0.5,0,0
0.04,595.0,0,34,2,0.382,9.2,1,1
17.64,334.0,0,37,4,0.281,8.5,0,1
0.1,862.0,0,43,0,0.605,0.3,1,1
6.92,426.0,0,18,3,0.549,82.0,1,0
9.77,726.0,0,25,4,0.496,48.0,0,0
7.64,-1.0,1,28,3,0.158,3.4,0,0
1.05,614.0,0,34,2,0.61,47.1,1,1
10.7,331.0,0,18,3,0.267,6.8,0,0
2.2,-1.0,1,26,3,0.602,7.0,1,0
0.13,346.0,0,38,3,0.356,32.1,1,1
1.31,846.0,0,18,5,0.846,0.1,0,1
2.14,91.0,0,38,3,0.65,40.5,1,0
9.17,107.0,0,29,5,0.488,4.2,1,1
4.03,335.0,0,18,2,0.633,17.9,1,0
2.3,512.0,0,34,1,0.495,3.9,1,0
7.06,95.0,0,38,2,0.622,26.3,1,1
4.12,-1.0,1,18,4,0.523,30.7,1,1
0.78,886.0,0,29,5,0.738,50.4,0,0
5.6,105.0,0,35,2,0.249,12.8,1,0
1.46,-1.0,1,43,6,0.883,1.7,1,1
2.72,751.0,0,42,4,0.829,85.0,1,0
2.31,774.0,0,21,2,0.169,16.6,0,0
2.75,448.0,0,18,4,0.582,26.1,1,1
2.67,-1.0,1,55,3,0.288,34.1,1,0
1.71,561.0,0,18,3,0.626,1.0,1,1
6.72,-1.0,1,52,3,0.067,44.3,1,1
1.41,-1.0,1,30,6,0.804,33.9,1,1
8.32,607.0,0,33,3,0.713,5.7,0,0
16.95,-1.0,1,20,3,0.198,1.5,1,0
1.02,850.0,0,24,7,0.635,0.5,0,0
5.43,460.0,0,31,1,0.479,23.9,1,1
2.56,199.0,0,35,2,0.4,26.1,0,1
15.51,439.0,0,32,2,0.2,13.8,0,0
2.13,338.0,0,28,0,0.431,16.1,1,1
9.89,682.0,0,28,6,0.616,39.3,1,1
39.26,-1.0,1,27,4,0.541,15.4,1,0
9.81,868.0,0,31,1,0.159,18.4,1,0
8.59,626.0,0,26,4,0.555,20.5,1,0
4.95,-1.0,1,34,4,0.483,13.2,1,1
1.27,700.0,0,18,4,0.386,22.7,1,0
4.45,-1.0,1,33,4,0.232,11.6,1,1
0.72,334.0,0,61,4,0.495,18.6,1,1
14.24,506.0,0,30,5,0.276,2.3,0,0
1.18,175.0,0,18,1,0.772,34.3,0,0
2.42,656.0,0,42,1,0.326,20.3,1,0
1.59,770.0,0,43,0,0.193,39.0,1,0
9.75,482.0,0,40,3,0.908,42.6,0,0
6.5,807.0,0,29,4,0.599,2.0,0,0
5.44,-1.0,1,25,5,0.337,6.8,0,0
0.72,490.0,0,31,3,0.604,2.3,1,1
10.88,492.0,0,24,1,0.325,3.0,0,0
1.08,356.0,0,41,2,0.225,32.7,0,0
9.81,757.0,0,44,2,0.664,1.5,1,1
3.75,359.0,0,38,2,0.658,6.7,0,0
7.42,406.0,0,36,3,0.694,2.3,1,0
14.07,96.0,0,45,3,0.232,22.8,1,0
16.08,812.0,0,42,3,0.639,5.0,1,0
4.2,-1.0,1,18,3,0.542,9.7,1,1
16.11,144.0,0,22,5,0.585,5.6,1,1
1.83,-1.0,1,38,4,0.557,60.4,1,0
16.35,-1.0,1,35,1,0.096,9.7,1,0
0.83,850.0,0,18,6,0.557,53.5,1,0
3.85,372.0,0,38,7,0.113,15.9,1,1
0.38,340.0,0,18,3,0.626,46.2,1,1
3.82,97.0,0,24,2,0.383,1.0,1,0
8.73,281.0,0,38,0,0.114,8.2,1,0
12.04,177.0,0,29,7,0.601,8.4,1,1
3.54,743.0,0,28,5,0.066,5.7,1,1
4.5,833.0,0,18,2,0.747,23.0,1,0
2.73,359.0,0,31,1,0.215,20.3,0,0
3.97,564.0,0,24,0,0.449,2.4,0,0
5.39,743.0,0,35,0,0.628,79.9,1,0
1.68,787.0,0,30,4,0.645,29.5,1,1
3.95,-1.0,1,32,3,0.835,33.5,0,1
17.49,-1.0,1,43,5,0.9,82.0,0,0
3.72,246.0,0,26,6,0.295,16.5,0,0
3.88,892.0,0,25,3,0.783,63.8,1,1
4.92,410.0,0,18,3,0.664,11.5,1,1
1.22,187.0,0,32,4,0.864,20.9,0,1
21.46,765.0,0,24,2,0.538,10.3,1,0
3.42,727.0,0,34,3,0.594,41.8,0,1
2.32,473.0,0,35,1,0.188,27.7,1,0
2.63,252.0,0,19,2,0.701,35.5,1,0
5.85,145.0,0,32,5,0.242,16.7,1,0
1.93,793.0,0,35,0,0.776,18.7,1,0
0.24,571.0,0,30,4,0.388,33.5,1,1
17.1,441.0,0,35,2,0.857,12.6,1,1
3.64,395.0,0,18,3,0.878,104.9,0,0
3.63,462.0,0,29,4,0.451,3.2,1,0
0.56,357.0,0,38,4,0.768,41.6,1,1
13.52,600.0,0,30,1,0.343,6.1,1,0
1.76,733.0,0,50,3,0.639,12.4,1,0
2.22,579.0,0,26,3,0.428,3.4,1,1
4.89,191.0,0,44,2,0.214,170.4,1,0
3.92,297.0,0,27,3,0.41,42.6,1,1
4.12,583.0,0,42,0,0.3,14.5,1,1
19.53,518.0,0,22,2,0.927,1.9,0,1
10.73,-1.0,1,21,3,0.909,135.0,1,1
2.01,175.0,0,23,1,0.943,11.0,1,1
1.8,-1.0,1,54,1,0.697,10.8,1,1
5.36,889.0,0,27,1,0.234,72.8,1,0
3.58,126.0,0,52,5,0.241,1.4,0,0
0.96,658.0,0,28,0,0.791,30.6,1,1
3.24,643.0,0,21,1,0.655,3.1,0,0
14.06,252.0,0,37,3,0.589,12.7,1,1
21.29,364.0,0,26,4,0.582,34.7,1,1
6.6,-1.0,1,41,2,0.576,7.6,1,1
2.31,511.0,0,51,1,0.5,16.2,1,0
4.16,287.0,0,27,4,0.325,18.2,1,0
3.95,-1.0,1,39,4,0.87,13.4,1,0
8.34,561.0,0,23,1,0.607,45.9,1,0
0.45,856.0,0,25,4,0.527,13.8,0,1
0.0,719.0,0,57,3,0.339,33.3,1,1
8.12,235.0,0,23,3,0.242,53.4,0,0
2.98,626.0,0,19,3,0.664,7.2,1,0
4.38,381.0,0,26,0,0.377,0.6,1,0
6.34,639.0,0,34,0,0.524,107.4,1,0
0.13,159.0,0,36,1,0.242,70.6,0,0
3.18,640.0,0,40,5,0.719,4.3,1,1
12.2,488.0,0,40,1,0.729,17.0,1,1
4.11,348.0,0,38,2,0.869,45.7,1,0
13.36,457.0,0,52,2,0.287,2.8,0,0
3.01,248.0,0,21,6,0.402,7.8,0,0
29.04,-1.0,1,27,4,0.575,3.0,1,1
7.47,117.0,0,38,5,0.527,22.0,1,1
2.71,557.0,0,21,5,0.177,4.1,1,0
2.27,-1.0,1,55,0,0.354,101.4,1,0
14.18,439.0,0,40,2,0.708,38.3,1,1
10.94,571.0,0,24,1,0.349,2.8,0,0
0.6,826.0,0,18,3,0.352,28.3,0,0
5.77,381.0,0,31,4,0.638,10.9,1,0
0.69,704.0,0,29,5,0.602,0.8,0,0
0.82,114.0,0,32,3,0.225,74.2,1,0
0.09,405.0,0,26,5,0.046,16.6,1,1
1.44,-1.0,1,43,2,0.729,93.3,1,0
0.52,129.0,0,52,3,0.449,33.9,0,0
2.18,874.0,0,22,2,0.954,3.1,1,1
0.0,-1.0,1,39,4,0.346,3.2,0,1
2.81,853.0,0,29,3,0.702,12.2,1,0
19.75,-1.0,1,25,2,0.258,16.7,1,0
7.87,-1.0,1,41,1,0.535,11.3,0,0
2.85,248.0,0,21,3,0.707,27.3,1,1
8.58,-1.0,1,27,4,0.82,2.6,0,1
0.81,508.0,0,18,2,0.358,30.3,0,0
6.79,-1.0,1,35,3,0.606,96.0,1,1
1.74,881.0,0,49,2,0.732,0.4,1,1
2.52,-1.0,1,18,1,0.727,12.7,1,0
11.28,367.0,0,40,0,0.671,1.8,1,1
6.2,-1.0,1,36,4,0.62,16.2,1,1
2.13,773.0,0,28,3,0.207,43.6,1,1
9.75,358.0,0,29,6,0.2,35.0,0,0
10.63,-1.0,1,26,3,0.887,41.9,1,1
8.65,373.0,0,18,3,0.255,12.3,1,0
4.34,109.0,0,18,5,0.3,80.0,0,0
3.59,765.0,0,41,6,0.047,10.8,1,0
0.97,491.0,0,46,2,0.583,9.2,1,1
11.9,863.0,0,18,2,0.105,26.5,1,0
11.74,-1.0,1,22,3,0.63,12.0,0,1
1.89,712.0,0,31,4,0.803,30.5,1,0
0.02,183.0,0,44,4,0.164,3.6,1,0
3.32,241.0,0,34,2,0.601,26.4,0,0
18.73,826.0,0,43,4,0.976,38.0,1,1
4.89,697.0,0,34,2,0.321,28.0,0,0
